,mean_test_score,mean_train_score,mean_fit_time,param_svc__C,param_svc__gamma,param_svc__kernel
184,0.6466554644441458,0.7008128562714289,0.062417821884155275,545.5594781168514,1.8329807108324375e-06,rbf
207,0.6466406775104181,0.7559161145116846,0.0836660099029541,1832.9807108324337,1.623776739188721e-05,rbf
228,0.6464134964376932,0.8048159693738036,0.19865034103393556,6158.482110660255,3.359818286283781e-05,rbf
210,0.6459752654926737,0.9333535264298185,0.30033270835876463,1832.9807108324337,0.0001438449888287663,rbf
225,0.6457144777523861,0.7498262131633748,0.08100900650024415,6158.482110660255,3.7926901907322535e-06,rbf
284,0.6457104449522785,0.7633417891924864,0.4837225341796875,233572.14690901214,1.8329807108324375e-06,rbf
262,0.645709100685576,0.7526101680654592,0.08307485580444336,69519.27961775605,4.281332398719396e-07,rbf
202,0.6452641484070439,0.6906618708062514,0.06221455574035645,1832.9807108324337,4.281332398719396e-07,rbf
263,0.6452466729399113,0.7546982183799247,0.11384646415710449,69519.27961775605,8.858667904100833e-07,rbf
208,0.6452412958731011,0.7705923728991817,0.10537755012512207,1832.9807108324337,3.359818286283781e-05,rbf
283,0.6450248689339965,0.7596865021770682,0.274506778717041,233572.14690901214,8.858667904100833e-07,rbf
96,0.6447923107944616,0.9905453398119519,0.0824138069152832,1.2742749857031335,0.011288378916846883,rbf
381,0.6447815566608415,0.7228549672913905,2.770602750778198,100000000.0,2.06913808111479e-07,rbf
418,0.6447734910606263,0.7446057087566521,4.22558440208435,14384498882.8766,,linear
147,0.6445678182551419,0.6904295660587703,0.0624149227142334,48.32930238571752,1.623776739188721e-05,rbf
301,0.6443285387820943,0.7576565911528996,0.2356022548675537,784759.9703514606,2.06913808111479e-07,rbf
265,0.6443137518483667,0.7646183294419552,0.2799716567993164,69519.27961775605,3.7926901907322535e-06,rbf
226,0.6443137518483667,0.7560902799688689,0.09972227096557618,6158.482110660255,7.847599703514607e-06,rbf
245,0.6443110633149617,0.7577151511327065,0.1370548725128174,20691.3808111479,3.7926901907322535e-06,rbf
415,0.6443110633149617,0.7447800424896406,2.8805706119537353,42813323.98719396,,linear
342,0.644108079042882,0.7385158915462443,4.112167291641235,8858667.904100832,4.281332398719396e-07,rbf
227,0.6440825379755343,0.768156580635662,0.13429060935974121,6158.482110660255,1.623776739188721e-05,rbf
281,0.6440744723753192,0.7533646326328853,0.10778792381286621,233572.14690901214,2.06913808111479e-07,rbf
413,0.6436120446296545,0.7450119265476115,2.85201358795166,885866.7904100795,,linear
364,0.643403683290765,0.7784225826129025,30.35768974304199,29763514.41631313,1.8329807108324375e-06,rbf
411,0.6429170587444548,0.7438518331545403,2.45610200881958,18329.807108324374,,linear
264,0.64268987767173,0.7574254643360467,0.17937480926513671,69519.27961775605,1.8329807108324375e-06,rbf
419,0.64268450060492,0.7459393786415935,4.3919383239746095,100000000000.0,,linear
363,0.6424774835327328,0.7406026797921794,11.695713033676148,29763514.41631313,8.858667904100833e-07,rbf
412,0.6424452211318726,0.7440254937843125,2.6536321353912355,127427.49857031321,,linear
416,0.6422261056593628,0.7453596684966661,3.1904705142974854,297635144.1631313,,linear
417,0.6422220728592553,0.7450695610104963,3.938183298110962,2069138081.1147816,,linear
322,0.6419895147197203,0.753944931743127,1.9018564224243164,2636650.8987303553,4.281332398719396e-07,rbf
414,0.641755612313483,0.7447792011106203,2.800750789642334,6158482.110660254,,linear
246,0.6413025944347358,0.7670544582570833,0.19424116134643554,20691.3808111479,7.847599703514607e-06,rbf
287,0.6408710848232289,0.9720414799856967,3.4646855640411376,233572.14690901214,1.623776739188721e-05,rbf
345,0.6408549536227988,0.8812669485286384,70.34588311195374,8858667.904100832,3.7926901907322535e-06,rbf
191,0.6406371824169915,0.9526691487347763,0.21730090141296388,545.5594781168514,0.0002976351441631316,rbf
256,0.6406062642828337,1.0,0.08160286903381347,20691.3808111479,0.011288378916846883,rbf
116,0.6406062642828337,1.0,0.08329038619995117,4.281332398719392,0.011288378916846883,rbf
296,0.6406062642828337,1.0,0.07984409332275391,233572.14690901214,0.011288378916846883,rbf
216,0.6406062642828337,1.0,0.08999371528625488,1832.9807108324337,0.011288378916846883,rbf
276,0.6406062642828337,1.0,0.08183465957641602,69519.27961775605,0.011288378916846883,rbf
236,0.6406062642828337,1.0,0.08554300308227539,6158.482110660255,0.011288378916846883,rbf
196,0.6406062642828337,1.0,0.08773871421813965,545.5594781168514,0.011288378916846883,rbf
176,0.6406062642828337,1.0,0.08503147125244141,162.3776739188721,0.011288378916846883,rbf
316,0.6406062642828337,1.0,0.08132572174072265,784759.9703514606,0.011288378916846883,rbf
156,0.6406062642828337,1.0,0.10126456260681152,48.32930238571752,0.011288378916846883,rbf
336,0.6406062642828337,1.0,0.08683013916015625,2636650.8987303553,0.011288378916846883,rbf
136,0.6406062642828337,1.0,0.08455386161804199,14.38449888287663,0.011288378916846883,rbf
356,0.6406062642828337,1.0,0.08397785186767578,8858667.904100832,0.011288378916846883,rbf
376,0.6406062642828337,1.0,0.08726272583007813,29763514.41631313,0.011288378916846883,rbf
396,0.6406062642828337,1.0,0.08512365341186523,100000000.0,0.011288378916846883,rbf
361,0.6403884930770265,0.7234351822637302,2.484933671951294,29763514.41631313,2.06913808111479e-07,rbf
300,0.6398911143970963,0.7511596306346101,0.14809432983398438,784759.9703514606,1e-07,rbf
383,0.6394501949186718,0.7408351528154645,16.05210132598877,100000000.0,8.858667904100833e-07,rbf
408,0.6394394407850517,0.7383399591931175,0.46218396186828614,54.555947811685144,,linear
340,0.638979701572792,0.7307996045518605,0.6899880504608155,8858667.904100832,1e-07,rbf
282,0.6389770130393869,0.7573663153909257,0.16488041877746581,233572.14690901214,4.281332398719396e-07,rbf
382,0.6385280279607474,0.7265641025641025,6.335674600601196,100000000.0,4.281332398719396e-07,rbf
410,0.6382874042209974,0.7400228855093499,1.6760323333740235,2636.6508987303555,,linear
409,0.6382820271541874,0.7388619507372582,0.8889958190917969,379.2690190732246,,linear
302,0.6382753058206748,0.762063397909173,0.4910709762573242,784759.9703514606,4.281332398719396e-07,rbf
341,0.6380521575480574,0.7331225678887696,1.589572114944458,8858667.904100832,2.06913808111479e-07,rbf
